original_index,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,original_prediction,alternative_prediction
14,62,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,16,United-States,1,0
14,62,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,0,16,United-States,1,0
19,62,Self-emp-inc,10th,6,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,4917,0,40,United-States,0,1
21,55,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,18,United-States,1,0
21,55,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,18,United-States,1,0
28,57,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,5956,0,40,United-States,1,0
28,57,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,5956,0,40,United-States,1,0
28,57,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5956,0,40,United-States,1,0
39,34,Private,Masters,14,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0,2221,40,United-States,1,0
39,34,Private,Masters,14,Married-civ-spouse,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,2221,40,United-States,1,0
41,56,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,3443,0,40,United-States,1,0
41,56,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,3443,0,40,United-States,1,0
42,66,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,2501,0,40,United-States,1,0
44,34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Female,4299,0,40,United-States,1,0
44,34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Other,Female,4299,0,40,United-States,1,0
47,31,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,5440,0,50,United-States,1,0
47,31,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Other,Female,5440,0,50,United-States,1,0
56,23,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Female,3649,0,40,United-States,1,0
59,29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,44,United-States,1,0
59,29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,44,United-States,1,0
60,48,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,6518,0,40,United-States,1,0
63,58,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,4907,0,40,United-States,1,0
63,58,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Female,4907,0,40,United-States,1,0
77,45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,58,United-States,1,0
77,45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Female,0,0,58,United-States,1,0
83,39,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Other,Female,0,0,51,United-States,1,0
86,47,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,59,United-States,1,0
86,47,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Female,0,0,59,United-States,1,0
89,24,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,57,United-States,1,0
89,24,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,0,57,United-States,1,0
93,36,State-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,57,United-States,1,0
93,36,State-gov,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Other,Female,0,0,57,United-States,1,0
94,37,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,Other,Female,0,0,40,United-States,1,0
97,32,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,40,United-States,1,0
121,36,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,49,United-States,1,0
121,36,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0,0,49,United-States,1,0
