Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A11,5,A32,A40,435,A65,A75,4,Male,A101,2,A124,31,A143,A152,1,A173,1,A191,A202
A11,12,A34,A42,1815,A61,A74,4,Male,A101,3,A122,34,A143,A152,2,A173,1,A192,A201
A11,39,A32,A41,7019,A61,A75,3,Male,A101,4,A122,39,A143,A152,1,A173,1,A191,A201
A11,23,A34,A42,2021,A61,A75,4,Male,A101,4,A122,25,A143,A151,1,A173,1,A191,A201
A11,37,A33,A41,5435,A61,A75,3,Male,A101,2,A122,30,A143,A152,2,A173,2,A191,A201
A14,16,A32,A41,1300,A65,A75,1,Female,A101,4,A123,27,A143,A151,1,A173,1,A192,A201
A11,35,A34,A42,10116,A61,A75,4,Male,A101,4,A124,32,A143,A153,1,A173,1,A192,A201
A11,15,A32,A41,1959,A61,A75,4,Male,A101,4,A121,65,A143,A151,1,A173,1,A192,A201
A11,18,A34,A41,1254,A61,A75,2,Male,A101,3,A124,37,A143,A151,2,A173,1,A191,A201
A13,21,A33,A41,1097,A65,A75,4,Male,A101,4,A121,67,A143,A152,2,A173,1,A192,A201
A11,11,A34,A41,1251,A61,A75,2,Male,A101,3,A121,44,A143,A151,2,A173,2,A191,A201
A11,19,A32,A41,7263,A61,A75,4,Male,A102,4,A124,66,A143,A153,1,A173,1,A191,A201
A14,14,A34,A42,1793,A61,A75,4,Male,A101,4,A124,29,A143,A151,2,A173,1,A191,A201
A11,7,A34,A41,505,A65,A75,4,Female,A101,4,A121,72,A143,A152,2,A173,1,A192,A201
A11,50,A32,A41,5797,A61,A75,3,Male,A101,3,A122,45,A143,A152,1,A173,1,A192,A201
A11,11,A34,A40,1119,A61,A75,4,Male,A101,4,A124,41,A143,A153,2,A173,1,A191,A201
A11,39,A34,A42,5988,A61,A75,3,Male,A101,2,A122,54,A143,A152,2,A173,2,A192,A201
A11,12,A34,A42,2427,A65,A75,4,Male,A101,4,A122,46,A143,A151,3,A173,1,A192,A201
A14,16,A34,A41,1938,A61,A75,4,Male,A101,4,A124,69,A143,A153,2,A173,1,A192,A201
A11,43,A32,A40,3051,A61,A71,4,Male,A101,4,A124,54,A143,A153,1,A173,2,A191,A201
A14,12,A31,A40,1166,A61,A75,4,Male,A101,4,A124,32,A141,A153,1,A173,2,A192,A201
A11,23,A32,A41,5362,A61,A75,4,Male,A101,4,A122,54,A143,A153,1,A173,1,A192,A201
A11,36,A34,A41,1899,A61,A75,3,Male,A101,4,A122,70,A143,A152,2,A173,2,A192,A201
A14,14,A32,A41,3355,A65,A75,4,Male,A101,4,A122,71,A143,A151,1,A174,1,A192,A202
A12,38,A32,A41,15535,A65,A71,2,Male,A101,4,A124,48,A143,A153,1,A174,1,A192,A201
A14,22,A34,A41,4822,A65,A75,4,Male,A101,4,A124,70,A143,A153,2,A173,1,A192,A201
A11,16,A34,A41,480,A61,A75,4,Male,A101,4,A124,70,A143,A153,3,A173,2,A191,A201
A11,11,A34,A40,6227,A61,A75,2,Male,A101,4,A124,65,A143,A153,3,A174,1,A192,A201
A11,46,A34,A41,7861,A65,A75,3,Male,A101,4,A124,34,A143,A152,2,A173,2,A192,A201
A11,10,A34,A41,1242,A65,A75,4,Female,A101,4,A124,75,A143,A153,2,A173,1,A192,A201
A11,26,A32,A41,2297,A61,A73,2,Female,A101,3,A123,22,A143,A152,1,A173,1,A191,A201
A14,7,A32,A41,1341,A63,A73,1,Female,A101,2,A123,29,A141,A152,1,A173,1,A191,A201
A14,14,A34,A43,883,A61,A73,4,Female,A101,2,A123,26,A143,A152,2,A172,1,A191,A201
A11,20,A32,A41,2983,A65,A73,4,Male,A101,3,A123,23,A143,A152,3,A173,1,A191,A201
A11,17,A32,A42,826,A61,A73,4,Male,A101,2,A121,39,A143,A152,1,A173,1,A191,A201
A11,13,A32,A41,1153,A65,A73,1,Female,A102,2,A121,25,A141,A152,1,A173,1,A191,A201
A11,25,A34,A41,1917,A61,A75,4,Male,A101,3,A122,31,A143,A152,2,A173,1,A191,A201
A14,11,A34,A41,2053,A61,A75,4,Male,A101,4,A122,51,A143,A152,2,A173,1,A192,A201
A12,14,A31,A41,1161,A65,A73,4,Male,A101,4,A121,36,A141,A152,1,A173,1,A192,A201
A14,10,A34,A41,812,A61,A73,4,Male,A101,2,A121,30,A143,A151,3,A173,1,A191,A201
A11,30,A32,A41,5672,A61,A73,2,Male,A101,2,A123,26,A143,A152,1,A173,2,A191,A201
A11,10,A32,A42,1994,A65,A75,4,Male,A101,4,A122,22,A143,A151,3,A173,1,A191,A201
A11,13,A34,A42,3324,A61,A75,4,Male,A101,4,A122,65,A143,A153,2,A173,1,A192,A201
A11,21,A32,A41,923,A65,A75,4,Female,A101,4,A124,46,A141,A153,1,A173,1,A191,A201
A14,13,A34,A41,2593,A61,A75,4,Male,A101,4,A124,57,A143,A152,2,A173,1,A191,A201
A11,20,A32,A41,3482,A61,A73,2,Male,A101,4,A122,35,A143,A151,1,A173,1,A192,A201
A11,47,A34,A41,5593,A65,A75,4,Male,A101,4,A123,46,A143,A152,2,A173,2,A192,A201
A14,12,A34,A42,1313,A65,A75,4,Female,A101,4,A124,37,A143,A151,1,A173,1,A192,A201
A11,20,A34,A40,1443,A65,A75,4,Male,A101,3,A124,36,A143,A151,2,A173,1,A191,A201
A14,16,A34,A41,1896,A65,A73,4,Male,A101,4,A124,35,A143,A153,2,A173,1,A192,A201
A11,30,A34,A41,1623,A61,A75,4,Male,A101,4,A124,64,A143,A152,2,A173,1,A192,A201
A11,15,A31,A41,7337,A61,A75,1,Female,A101,4,A124,53,A141,A153,1,A173,1,A192,A201
A11,17,A34,A41,908,A65,A75,4,Male,A101,4,A122,44,A143,A152,2,A173,2,A192,A201
A11,23,A34,A42,10437,A61,A75,4,Male,A101,4,A124,28,A143,A151,1,A174,1,A192,A201
A14,11,A34,A43,713,A65,A75,2,Female,A101,4,A121,68,A143,A152,2,A173,1,A192,A201
A11,19,A32,A41,6770,A61,A75,4,Male,A101,4,A124,56,A143,A153,1,A173,1,A192,A201
A11,16,A34,A41,8145,A61,A75,3,Male,A101,4,A122,71,A143,A152,2,A174,1,A192,A201
A14,14,A34,A41,1951,A61,A75,4,Male,A101,4,A124,69,A143,A153,2,A173,1,A192,A201
A11,7,A34,A40,701,A61,A75,2,Male,A101,4,A123,64,A143,A151,3,A173,2,A191,A201
A14,17,A34,A41,814,A61,A75,2,Female,A101,4,A124,71,A143,A153,2,A174,1,A192,A201
A11,44,A32,A40,1958,A65,A75,4,Male,A101,4,A124,63,A143,A153,1,A173,2,A191,A201
A11,39,A34,A41,9375,A65,A75,4,Male,A101,4,A124,62,A143,A153,2,A173,1,A192,A201
A11,18,A34,A41,1836,A61,A75,4,Male,A101,4,A124,74,A143,A152,2,A174,2,A192,A201
A11,10,A32,A41,8177,A65,A75,2,Male,A101,4,A124,60,A141,A153,1,A174,2,A192,A201
A11,35,A34,A41,14503,A61,A75,3,Male,A101,2,A124,31,A143,A152,3,A174,2,A192,A201
A14,35,A34,A41,14265,A61,A75,4,Male,A101,4,A124,49,A143,A153,1,A174,1,A192,A201
A14,17,A32,A42,2741,A61,A73,4,Male,A101,2,A123,31,A143,A152,1,A173,1,A191,A201
A14,8,A32,A43,923,A65,A73,4,Female,A101,2,A123,22,A143,A152,1,A173,1,A191,A201
A11,19,A32,A42,1542,A61,A73,2,Male,A101,3,A122,31,A143,A152,2,A172,1,A191,A201
A14,13,A34,A41,987,A61,A73,4,Female,A101,2,A123,29,A143,A152,2,A173,1,A191,A201
A11,25,A32,A42,1927,A61,A73,2,Male,A101,2,A124,31,A143,A152,2,A173,1,A191,A201
A11,14,A32,A43,1094,A61,A73,4,Female,A101,2,A123,27,A143,A152,1,A173,1,A191,A201
A11,23,A32,A40,1189,A65,A74,4,Male,A101,3,A122,39,A143,A152,2,A173,1,A191,A201
A11,15,A32,A42,3307,A61,A73,4,Male,A102,4,A121,23,A143,A151,2,A173,1,A191,A201
