Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A14,12,A32,A40,523,A65,A73,3,Male,A101,2,A121,22,A143,A152,1,A173,1,A191,A202
A11,26,A34,A41,1526,A61,A75,4,Male,A101,3,A122,71,A143,A152,2,A173,1,A192,A201
A14,14,A34,A41,2281,A61,A75,4,Male,A101,4,A122,53,A143,A152,2,A173,1,A192,A201
A11,53,A32,A41,8914,A61,A75,3,Male,A101,4,A124,50,A143,A153,2,A173,1,A191,A201
A12,38,A32,A41,14810,A61,A75,4,Male,A101,4,A124,35,A143,A153,1,A174,1,A192,A201
A11,44,A32,A43,3224,A65,A73,4,Female,A101,2,A123,30,A141,A152,1,A173,1,A191,A201
A11,34,A32,A42,4829,A61,A75,2,Male,A101,2,A122,56,A141,A152,2,A173,1,A191,A201
A12,25,A32,A41,6816,A61,A75,4,Female,A101,4,A124,64,A143,A153,1,A174,1,A192,A201
A12,41,A32,A41,4621,A65,A71,4,Male,A101,4,A124,31,A143,A152,2,A173,1,A192,A201
A11,10,A32,A43,1114,A61,A75,4,Male,A101,4,A121,36,A143,A151,2,A173,1,A191,A201
A14,23,A34,A41,4929,A65,A75,4,Male,A101,4,A124,74,A143,A153,2,A173,1,A192,A201
A14,15,A32,A42,2172,A61,A73,2,Female,A101,2,A124,28,A143,A152,1,A173,1,A191,A201
A14,11,A34,A41,2731,A61,A74,4,Male,A101,3,A122,46,A143,A152,2,A173,1,A191,A201
A11,6,A32,A43,514,A61,A75,4,Male,A101,4,A123,40,A143,A151,2,A173,2,A191,A201
A11,9,A34,A42,1401,A61,A75,4,Male,A101,4,A124,63,A143,A151,3,A173,1,A192,A201
A12,36,A34,A41,3083,A65,A75,4,Male,A101,4,A122,50,A143,A152,2,A173,2,A192,A201
A12,38,A32,A41,15944,A61,A75,4,Male,A101,4,A124,46,A143,A153,1,A174,1,A192,A201
A14,9,A32,A43,789,A63,A73,4,Female,A101,2,A123,29,A143,A152,1,A173,1,A191,A201
A11,42,A32,A42,3248,A61,A75,3,Male,A101,4,A123,51,A143,A152,1,A173,1,A191,A201
A14,14,A32,A41,4492,A65,A74,3,Male,A101,2,A124,33,A143,A152,1,A173,1,A192,A201
A11,5,A32,A40,1603,A61,A75,2,Male,A101,4,A124,37,A141,A153,3,A173,2,A191,A201
A11,43,A34,A42,10125,A61,A75,4,Male,A101,4,A124,37,A143,A153,1,A174,1,A192,A201
A14,13,A34,A41,772,A65,A75,2,Male,A101,4,A124,44,A143,A153,2,A173,2,A192,A201
A11,24,A34,A41,1984,A61,A73,2,Male,A101,2,A122,23,A143,A152,2,A173,1,A191,A201
A14,4,A34,A40,1055,A63,A73,2,Female,A101,1,A121,34,A143,A152,3,A173,2,A191,A201
A14,16,A34,A41,2730,A61,A75,4,Male,A101,4,A121,49,A143,A152,1,A173,1,A192,A201
A14,25,A34,A41,4320,A61,A75,2,Male,A101,4,A124,41,A143,A153,1,A173,1,A192,A201
A11,17,A34,A41,1765,A65,A75,4,Male,A101,3,A123,51,A143,A152,2,A173,2,A192,A201
A11,40,A32,A41,5669,A65,A75,4,Male,A101,4,A124,35,A141,A153,1,A174,2,A192,A201
A14,15,A32,A41,1045,A61,A73,2,Female,A101,2,A123,25,A143,A152,2,A173,1,A191,A201
A12,13,A32,A40,1560,A61,A72,1,Female,A101,1,A122,28,A141,A152,1,A173,1,A192,A201
A11,26,A34,A42,4923,A61,A75,4,Male,A101,4,A122,42,A143,A152,2,A173,1,A192,A201
A14,11,A34,A42,3782,A65,A75,4,Female,A101,4,A122,70,A143,A153,2,A173,1,A192,A201
A11,17,A32,A41,4681,A61,A75,3,Male,A101,4,A124,67,A143,A152,1,A173,2,A192,A201
A11,28,A34,A41,4106,A65,A75,4,Male,A101,4,A124,59,A143,A152,2,A174,1,A192,A201
A11,21,A32,A42,3020,A61,A73,2,Female,A102,3,A121,27,A143,A152,1,A172,1,A191,A202
A11,12,A30,A40,1441,A61,A75,4,Male,A101,4,A124,35,A143,A153,2,A173,1,A191,A201
A11,11,A32,A41,4016,A61,A75,3,Male,A101,4,A122,45,A143,A152,1,A173,1,A192,A201
A11,12,A34,A41,1931,A61,A75,4,Male,A101,4,A121,56,A143,A153,3,A173,1,A192,A201
A14,15,A34,A40,833,A65,A75,4,Male,A101,4,A121,74,A143,A152,2,A173,1,A192,A201
A14,11,A32,A43,1293,A65,A75,4,Male,A101,4,A121,54,A143,A152,1,A173,1,A191,A201
A11,60,A34,A46,3753,A61,A72,2,Male,A101,1,A123,35,A143,A152,2,A173,1,A192,A201
A14,10,A34,A41,1322,A65,A75,4,Male,A101,4,A121,70,A143,A152,2,A173,1,A192,A201
A11,24,A32,A41,4994,A61,A75,4,Male,A101,4,A124,35,A143,A153,2,A173,1,A191,A201
A11,25,A34,A41,2852,A65,A75,4,Male,A101,4,A124,49,A143,A153,3,A173,1,A191,A201
A14,13,A34,A43,1117,A61,A73,2,Female,A101,2,A123,25,A141,A152,2,A173,1,A191,A201
