Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A14,38,A32,A41,6700,A65,A75,4,Male,A101,2,A123,49,A143,A152,1,A174,1,A192,A201
A11,8,A34,A40,2048,A61,A73,3,Male,A101,3,A124,52,A143,A151,2,A173,2,A191,A201
A14,11,A34,A43,729,A61,A75,4,Male,A101,4,A124,64,A143,A153,2,A173,1,A192,A201
A12,38,A32,A40,8824,A61,A75,4,Male,A101,2,A124,37,A143,A153,1,A174,1,A192,A201
A11,35,A34,A42,9466,A61,A75,4,Male,A101,4,A124,36,A143,A153,1,A173,1,A192,A201
A12,15,A32,A40,4710,A61,A75,4,Male,A101,4,A124,35,A143,A153,1,A173,1,A192,A201
A12,14,A32,A41,5279,A65,A75,2,Female,A101,4,A124,69,A143,A153,2,A174,1,A192,A201
A14,34,A34,A41,15300,A61,A75,4,Male,A101,2,A123,40,A143,A152,1,A174,1,A192,A201
A11,22,A32,A40,818,A61,A73,2,Male,A101,4,A124,23,A143,A151,1,A172,2,A191,A201
A14,56,A34,A41,15363,A65,A75,4,Male,A101,3,A123,51,A143,A152,1,A174,1,A192,A201
A14,14,A34,A42,2641,A61,A75,4,Male,A101,4,A122,60,A143,A152,2,A173,1,A192,A201
A11,10,A34,A41,1166,A61,A75,4,Male,A101,4,A124,33,A143,A151,2,A173,1,A191,A201
A12,12,A34,A40,888,A65,A75,4,Female,A101,4,A124,70,A143,A152,2,A173,1,A192,A201
A11,14,A34,A42,2270,A61,A75,4,Male,A101,4,A124,35,A143,A153,2,A173,1,A192,A201
A14,26,A32,A41,15873,A61,A75,4,Male,A101,2,A123,35,A143,A152,1,A174,1,A192,A201
A12,24,A32,A41,7051,A65,A75,2,Male,A101,4,A124,33,A143,A151,1,A173,1,A192,A201
A14,7,A34,A43,911,A65,A75,4,Male,A101,4,A121,38,A143,A152,1,A173,1,A191,A201
A14,13,A34,A41,1783,A65,A75,4,Male,A101,4,A124,53,A143,A152,2,A173,1,A192,A201
A14,42,A33,A41,6725,A61,A74,4,Male,A101,2,A123,29,A143,A152,1,A174,1,A192,A201
