Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A14,24,A32,A41,8855,A65,A75,4,Male,A101,4,A123,69,A143,A152,1,A174,1,A192,A201
A11,9,A34,A40,915,A61,A75,2,Male,A101,4,A124,70,A143,A153,3,A173,2,A191,A201
A11,34,A34,A41,6411,A61,A75,3,Male,A101,4,A124,50,A143,A153,2,A173,1,A192,A201
A11,37,A34,A42,9038,A61,A75,4,Male,A101,4,A124,36,A143,A153,1,A173,1,A192,A201
A11,12,A32,A43,1899,A61,A73,2,Female,A101,2,A123,21,A141,A152,1,A173,1,A191,A201
A12,15,A34,A41,1656,A65,A75,4,Male,A101,4,A124,36,A143,A152,2,A173,2,A192,A201
A12,24,A32,A41,10696,A61,A75,4,Female,A101,4,A124,69,A143,A153,1,A174,1,A192,A201
A11,9,A34,A40,1204,A61,A75,4,Male,A101,4,A124,32,A143,A151,2,A173,1,A191,A201
A14,49,A34,A41,11437,A65,A75,4,Male,A101,2,A123,42,A143,A152,1,A174,1,A192,A201
A14,11,A32,A42,2073,A61,A73,4,Male,A101,2,A123,35,A143,A152,1,A173,1,A191,A201
A11,13,A32,A43,2224,A61,A73,4,Male,A101,4,A121,34,A143,A153,1,A173,2,A191,A201
A14,40,A34,A41,6896,A61,A75,4,Male,A101,3,A123,57,A143,A152,1,A174,1,A192,A201
A11,22,A32,A41,7057,A65,A75,4,Female,A101,4,A124,53,A143,A151,1,A174,1,A192,A201
A11,14,A34,A41,2117,A61,A75,4,Male,A101,4,A122,62,A143,A152,2,A173,1,A192,A201
A11,12,A32,A42,1467,A65,A73,4,Female,A101,3,A123,25,A143,A151,1,A173,1,A191,A201
A11,14,A32,A40,5168,A61,A75,4,Male,A101,4,A124,32,A143,A153,1,A173,1,A192,A201
A11,16,A34,A41,7871,A61,A75,4,Male,A101,4,A124,65,A143,A153,2,A174,1,A192,A201
A14,29,A34,A41,8053,A65,A74,4,Male,A101,3,A123,40,A143,A152,1,A174,1,A192,A201
A11,9,A32,A42,2694,A65,A75,4,Female,A101,4,A124,43,A143,A151,1,A173,1,A192,A201
A11,15,A32,A41,3094,A65,A73,2,Male,A101,3,A123,28,A141,A152,2,A173,1,A191,A201
A14,47,A34,A41,11982,A65,A75,4,Male,A101,2,A123,40,A143,A152,1,A174,1,A192,A201
A11,43,A32,A40,9292,A61,A75,4,Male,A101,4,A124,56,A141,A153,1,A174,1,A191,A201
A14,11,A34,A42,3395,A65,A75,4,Female,A101,4,A124,49,A143,A151,3,A173,1,A192,A201
