Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A11,5,A32,A46,403,A65,A75,4,Female,A101,2,A124,22,A143,A152,1,A173,1,A191,A202
A11,25,A34,A41,2322,A61,A75,4,Male,A101,3,A122,66,A143,A152,2,A173,2,A192,A201
A11,60,A34,A42,9143,A61,A75,3,Male,A101,4,A124,30,A143,A153,1,A173,1,A192,A201
A11,51,A30,A41,7040,A61,A75,3,Male,A101,4,A124,41,A143,A153,2,A173,2,A192,A201
A14,42,A32,A41,12223,A61,A75,3,Male,A101,4,A124,51,A143,A153,1,A174,1,A192,A201
A14,6,A32,A43,1721,A63,A73,1,Female,A101,2,A123,27,A141,A152,1,A173,1,A191,A201
A11,12,A34,A41,6213,A61,A75,3,Male,A101,2,A121,47,A143,A152,2,A173,2,A191,A201
A12,24,A32,A41,7971,A61,A75,4,Female,A101,4,A124,61,A143,A153,1,A174,1,A192,A201
A11,12,A34,A41,914,A65,A75,4,Male,A101,4,A124,55,A141,A152,2,A173,2,A192,A201
A11,11,A32,A43,818,A61,A75,4,Male,A101,4,A121,33,A143,A151,2,A173,1,A191,A201
A11,20,A34,A41,2662,A65,A75,4,Male,A101,4,A124,75,A143,A152,2,A174,1,A192,A201
A11,12,A34,A42,664,A61,A73,4,Female,A101,2,A123,34,A143,A152,1,A173,1,A191,A201
A14,12,A34,A41,1862,A61,A75,4,Male,A101,3,A122,51,A143,A152,2,A173,1,A192,A201
A11,6,A34,A43,995,A61,A75,3,Male,A101,4,A121,36,A143,A151,2,A173,2,A191,A201
A11,22,A34,A42,6527,A61,A75,4,Male,A101,4,A124,47,A143,A153,1,A173,1,A192,A201
A11,40,A32,A41,2297,A65,A74,4,Male,A101,3,A124,29,A141,A152,2,A173,2,A192,A201
A14,25,A32,A41,12867,A65,A75,4,Male,A101,4,A124,54,A143,A153,1,A174,1,A192,A201
A14,7,A32,A43,924,A63,A73,4,Female,A101,2,A123,25,A143,A152,1,A173,1,A191,A201
A11,48,A34,A42,7742,A61,A75,3,Male,A101,4,A122,53,A143,A152,2,A173,1,A191,A201
A11,15,A32,A40,2359,A65,A75,4,Male,A101,4,A122,64,A143,A152,1,A173,1,A192,A202
A11,7,A32,A40,901,A61,A75,2,Male,A101,4,A124,41,A141,A153,3,A173,2,A191,A201
A14,16,A34,A41,6863,A65,A75,4,Male,A101,4,A124,49,A143,A153,1,A173,1,A192,A201
A14,14,A34,A41,845,A65,A75,2,Male,A101,4,A124,44,A143,A152,2,A173,2,A192,A201
A14,22,A34,A42,1817,A61,A73,2,Male,A101,2,A122,24,A143,A152,2,A173,1,A191,A201
A14,4,A34,A40,1041,A65,A73,3,Female,A101,1,A121,34,A143,A152,3,A172,2,A191,A201
A14,18,A32,A41,5541,A61,A75,3,Male,A101,4,A122,41,A143,A151,1,A173,1,A192,A201
A11,14,A34,A42,3564,A61,A75,4,Male,A101,4,A124,38,A143,A151,3,A173,1,A192,A201
A11,21,A34,A41,1626,A65,A75,4,Male,A101,3,A122,46,A143,A152,2,A174,2,A192,A201
A11,25,A32,A41,5207,A65,A75,2,Male,A101,4,A124,58,A141,A153,1,A173,2,A192,A201
A14,19,A34,A41,1144,A61,A73,4,Male,A101,2,A123,25,A143,A152,2,A172,1,A191,A201
A12,14,A32,A42,1131,A61,A75,1,Female,A101,1,A122,28,A143,A152,1,A173,1,A192,A201
A14,14,A34,A41,3602,A61,A75,4,Male,A101,4,A124,33,A143,A152,2,A173,1,A192,A201
A14,10,A34,A42,3083,A65,A75,4,Female,A101,4,A122,47,A143,A151,2,A173,1,A192,A201
A11,11,A34,A41,2195,A61,A75,3,Male,A101,4,A124,60,A143,A152,2,A173,2,A192,A201
A11,60,A32,A41,14328,A61,A75,3,Male,A101,4,A124,43,A143,A152,3,A174,2,A192,A201
A11,16,A32,A42,1568,A61,A73,4,Female,A101,3,A122,34,A143,A152,1,A172,1,A191,A201
A14,12,A34,A40,1002,A61,A75,3,Male,A101,4,A124,39,A143,A153,2,A173,1,A191,A201
A11,19,A32,A41,2142,A65,A75,4,Male,A101,4,A122,60,A143,A152,1,A173,1,A192,A201
