Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A14,56,A32,A41,13879,A65,A74,4,Male,A101,2,A123,53,A143,A152,1,A174,1,A192,A201
A14,7,A34,A40,1960,A61,A73,3,Male,A101,3,A121,41,A143,A151,2,A173,1,A191,A202
A14,12,A34,A42,1428,A61,A75,4,Male,A101,1,A124,29,A143,A152,1,A173,1,A191,A201
A11,19,A32,A42,3869,A61,A75,1,Female,A101,4,A122,26,A143,A152,1,A173,1,A191,A201
A11,24,A34,A42,2711,A61,A75,4,Male,A101,4,A122,26,A143,A152,1,A173,1,A191,A201
A12,26,A32,A41,1919,A61,A72,1,Female,A101,1,A122,23,A143,A152,1,A173,1,A191,A201
A11,15,A34,A41,1351,A61,A73,4,Female,A101,2,A123,26,A143,A152,2,A173,1,A192,A201
A14,26,A34,A41,15517,A61,A75,4,Male,A101,2,A123,26,A143,A152,1,A174,1,A192,A201
A11,12,A32,A43,2598,A61,A73,2,Male,A101,4,A121,19,A143,A151,1,A173,1,A191,A201
A14,54,A34,A41,15571,A65,A75,4,Male,A101,2,A123,47,A143,A152,3,A174,1,A192,A201
A14,16,A34,A40,670,A65,A75,4,Female,A101,3,A124,64,A143,A152,2,A173,1,A191,A201
A11,12,A34,A42,1699,A61,A73,4,Male,A101,3,A122,27,A143,A152,1,A173,1,A191,A201
A11,13,A32,A40,1314,A61,A75,1,Female,A101,1,A124,27,A143,A152,2,A173,1,A192,A201
A12,26,A32,A40,866,A65,A75,4,Female,A101,2,A122,23,A143,A152,1,A173,1,A191,A201
A14,27,A33,A41,11254,A61,A74,4,Male,A101,3,A123,30,A143,A152,3,A174,1,A192,A201
A12,24,A32,A41,7458,A65,A75,2,Male,A101,3,A123,29,A143,A152,2,A173,1,A192,A201
A14,6,A34,A43,736,A64,A73,4,Male,A101,4,A121,30,A143,A152,1,A173,1,A191,A201
A14,13,A34,A42,2257,A61,A74,2,Male,A101,1,A122,26,A143,A152,2,A173,1,A191,A201
A14,34,A32,A43,8481,A61,A74,4,Male,A101,2,A123,25,A143,A152,1,A174,1,A192,A201
A13,4,A34,A40,1043,A61,A73,1,Female,A101,1,A121,39,A143,A152,1,A171,2,A191,A202
A11,15,A32,A41,1967,A61,A74,3,Male,A101,3,A123,40,A143,A152,1,A173,1,A191,A201
A14,37,A33,A43,6600,A61,A74,4,Male,A101,2,A123,25,A143,A152,2,A174,1,A192,A201
A14,15,A34,A42,2574,A61,A75,4,Male,A101,4,A122,24,A143,A152,2,A173,1,A191,A201
A11,9,A34,A41,1552,A65,A74,2,Male,A101,3,A123,31,A143,A152,1,A173,1,A191,A201
A11,12,A32,A42,5180,A61,A74,2,Male,A101,3,A123,43,A143,A152,1,A173,1,A191,A201
A12,25,A31,A41,2190,A61,A75,4,Male,A101,2,A124,27,A141,A152,1,A173,1,A191,A201
A11,8,A34,A40,1546,A61,A73,2,Male,A101,3,A121,49,A143,A152,2,A173,2,A191,A202
A14,33,A34,A41,6210,A65,A74,4,Male,A101,2,A123,30,A143,A152,1,A174,1,A192,A201
A14,46,A32,A41,2305,A61,A74,4,Male,A101,2,A123,40,A143,A152,1,A174,1,A192,A201
A14,19,A34,A42,1075,A61,A75,4,Male,A101,4,A123,44,A143,A152,3,A173,1,A192,A201
A11,15,A31,A49,2885,A61,A75,4,Male,A101,1,A123,51,A141,A152,1,A173,1,A192,A201
A12,12,A32,A43,1547,A62,A74,2,Male,A101,1,A124,32,A143,A152,1,A173,1,A191,A201
A12,39,A34,A43,2385,A65,A75,4,Male,A101,3,A122,45,A143,A152,2,A173,1,A191,A201
A11,34,A30,A42,7076,A61,A75,2,Male,A101,2,A122,34,A143,A152,2,A173,1,A191,A201
A11,26,A32,A42,3023,A65,A74,4,Male,A101,3,A123,48,A141,A152,1,A173,1,A191,A201
A14,38,A34,A41,11487,A65,A74,4,Male,A101,2,A123,20,A143,A152,3,A174,1,A192,A201
A11,9,A32,A42,2374,A61,A73,3,Male,A101,2,A121,40,A143,A151,2,A173,2,A191,A201
A11,37,A32,A42,4016,A61,A75,2,Male,A103,2,A122,38,A143,A152,2,A173,1,A191,A201
A11,46,A34,A43,1010,A61,A75,4,Male,A101,3,A123,49,A143,A152,2,A174,1,A191,A201
A14,9,A34,A40,1136,A61,A73,1,Male,A101,2,A121,36,A143,A152,2,A172,2,A191,A202
A14,12,A32,A42,3353,A65,A75,4,Female,A101,4,A123,37,A143,A151,1,A173,1,A191,A201
A14,17,A32,A43,870,A61,A72,4,Female,A101,3,A121,20,A143,A151,1,A173,1,A192,A201
A14,21,A32,A41,6326,A61,A75,4,Male,A101,3,A123,48,A143,A151,1,A174,1,A192,A201
A14,24,A32,A43,2601,A61,A72,4,Female,A101,3,A123,44,A143,A151,1,A173,1,A192,A201
A13,19,A32,A41,386,A65,A72,3,Female,A101,4,A124,23,A143,A151,1,A173,1,A191,A201
A14,32,A32,A42,361,A61,A73,4,Female,A101,4,A121,21,A143,A151,3,A173,1,A191,A201
A11,23,A32,A40,939,A61,A74,4,Female,A101,4,A124,31,A143,A151,3,A173,1,A191,A201
A11,24,A32,A41,3027,A63,A75,3,Female,A101,4,A123,22,A143,A151,1,A173,1,A191,A201
A14,11,A34,A42,2813,A61,A74,2,Male,A101,4,A123,27,A143,A151,1,A173,1,A192,A201
A14,27,A34,A41,15531,A61,A75,4,Male,A101,2,A123,35,A143,A152,1,A174,1,A192,A201
A11,16,A32,A44,1167,A65,A74,4,Female,A101,3,A122,38,A143,A152,1,A173,1,A191,A201
A11,22,A32,A43,1931,A61,A72,4,Male,A101,3,A121,27,A143,A152,1,A173,1,A191,A201
A14,14,A34,A43,666,A61,A74,2,Female,A101,3,A124,42,A143,A152,2,A172,1,A191,A201
A11,20,A32,A40,3489,A61,A75,4,Male,A103,4,A124,28,A143,A151,1,A173,1,A191,A202
A11,10,A32,A43,1141,A61,A72,3,Female,A101,1,A121,26,A143,A152,1,A173,1,A191,A201
A14,15,A32,A41,967,A65,A73,4,Female,A101,3,A121,29,A143,A152,1,A173,1,A191,A201
A14,10,A34,A40,782,A65,A75,3,Male,A101,3,A124,42,A143,A151,2,A173,2,A191,A202
