sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree
Male,51,Greater than 45,African-American,0,0,0,15,F
Male,48,Greater than 45,African-American,2,1,0,25,F
Male,46,Greater than 45,African-American,0,0,0,0,F
Male,31,25 - 45,African-American,0,0,0,0,M
Male,23,Less than 25,Caucasian,0,0,0,1,M
Male,23,Less than 25,Caucasian,0,1,0,1,F
Male,58,Greater than 45,Hispanic,0,0,0,2,F
Male,53,Greater than 45,African-American,1,0,0,10,F
Male,39,25 - 45,African-American,0,0,0,0,F
Male,33,25 - 45,African-American,0,0,0,0,M
Male,39,25 - 45,African-American,0,0,0,9,F
Male,40,25 - 45,African-American,1,0,0,14,F
Male,29,25 - 45,African-American,0,0,0,9,F
Male,19,Less than 25,African-American,2,1,0,2,F
Male,42,Greater than 45,Caucasian,0,0,0,13,F
Male,52,Greater than 45,Caucasian,0,0,0,0,M
Female,52,Greater than 45,African-American,1,0,0,25,F
Female,48,Greater than 45,African-American,2,1,0,14,F
Female,47,Greater than 45,Caucasian,0,0,0,0,F
Female,31,25 - 45,African-American,0,0,0,0,F
Female,28,25 - 45,African-American,1,0,0,0,M
Female,23,Less than 25,African-American,0,0,0,1,F
Female,64,Greater than 45,African-American,0,0,0,0,F
Female,53,Greater than 45,Caucasian,0,0,0,2,M
Male,52,Greater than 45,African-American,0,0,0,0,F
Male,34,25 - 45,African-American,0,0,0,0,F
Male,46,Greater than 45,African-American,1,0,0,14,M
Male,29,25 - 45,African-American,2,0,1,15,M
Male,24,Less than 25,Caucasian,0,1,0,2,F
Male,19,Less than 25,Caucasian,0,0,0,0,F
Male,57,Greater than 45,African-American,0,0,0,0,M
Male,52,Greater than 45,African-American,0,0,0,10,F
Female,51,Greater than 45,Caucasian,0,0,0,4,M
Female,47,Greater than 45,African-American,0,0,0,0,M
Female,34,25 - 45,African-American,0,0,0,1,F
Female,41,Greater than 45,Caucasian,0,0,0,16,F
Male,22,Less than 25,African-American,1,0,1,1,F
Male,19,Less than 25,African-American,0,0,0,2,F
Female,51,Greater than 45,Caucasian,0,0,0,4,M
Female,42,25 - 45,African-American,0,0,0,0,F
Female,42,25 - 45,African-American,0,0,0,0,F
Female,40,Greater than 45,African-American,0,0,0,1,F
Female,39,25 - 45,African-American,1,0,0,2,M
Female,41,Greater than 45,Hispanic,0,0,0,15,F
Female,22,Less than 25,African-American,0,0,0,2,F
Female,24,25 - 45,Caucasian,0,0,3,18,F
Female,60,Greater than 45,African-American,1,0,0,1,F
Female,39,25 - 45,African-American,0,0,0,0,F
Female,39,25 - 45,African-American,2,0,0,2,F
Female,37,25 - 45,Hispanic,0,0,0,4,F
Female,36,25 - 45,African-American,0,0,0,5,F
Female,33,25 - 45,African-American,0,0,0,2,F
Female,24,Less than 25,African-American,0,0,0,0,F
Female,20,Less than 25,African-American,2,0,0,1,F
Female,60,Greater than 45,Hispanic,0,0,0,0,F
Female,54,Greater than 45,African-American,1,0,0,25,M
Male,49,Greater than 45,African-American,1,0,0,9,F
Male,33,25 - 45,Caucasian,1,0,0,6,F
Male,32,25 - 45,African-American,2,0,0,6,M
Male,23,Less than 25,African-American,2,0,0,2,F
Male,51,Greater than 45,Hispanic,0,0,0,1,M
Male,52,Greater than 45,Caucasian,0,0,0,0,F
Male,48,Greater than 45,African-American,0,0,0,25,M
Male,48,Greater than 45,Caucasian,0,0,0,8,F
Male,32,25 - 45,African-American,0,0,0,0,F
Male,25,Less than 25,African-American,2,1,0,5,F
Male,60,Greater than 45,African-American,0,0,0,15,F
Male,39,25 - 45,African-American,1,0,0,6,F
Male,53,Greater than 45,African-American,1,0,0,15,F
Male,51,Greater than 45,Caucasian,1,0,0,15,M
Female,47,Greater than 45,African-American,0,1,0,7,F
Male,63,Greater than 45,African-American,0,0,0,11,F
Male,47,Greater than 45,African-American,0,0,0,1,F
Male,31,25 - 45,African-American,0,0,0,1,M
Male,40,25 - 45,African-American,0,0,0,7,F
Male,39,Greater than 45,African-American,0,0,0,2,F
Male,30,25 - 45,African-American,0,0,0,0,F
Male,25,25 - 45,African-American,0,1,0,9,F
Male,24,Less than 25,African-American,0,1,0,3,M
Male,58,Greater than 45,Hispanic,0,0,0,0,F
Male,36,25 - 45,African-American,0,0,0,9,F
Male,40,25 - 45,Caucasian,0,0,0,0,M
Male,51,Greater than 45,Other,0,0,0,0,M
Male,37,25 - 45,African-American,1,1,0,7,F
Male,51,Greater than 45,African-American,1,0,0,9,F
Male,51,Greater than 45,African-American,0,0,0,1,F
Female,39,25 - 45,African-American,0,0,0,4,F
Female,20,Less than 25,African-American,0,0,2,0,F
Female,52,Greater than 45,African-American,0,1,0,3,F
Female,52,Greater than 45,African-American,0,0,0,4,F
Female,51,Greater than 45,African-American,0,0,0,4,M
Male,53,Greater than 45,African-American,0,0,0,2,F
Male,52,Greater than 45,Hispanic,0,0,0,1,F
Male,52,Greater than 45,Hispanic,0,0,0,0,F
Male,52,Greater than 45,African-American,0,0,0,4,F
